tag,id
18th century,0
1920s,1
1930s,2
1950s,3
1960s,4
1970s,5
1980s,6
19th century,7
2000s,8
20th century,9
21st century,10
3 stars,11
4 stars,12
5 stars,13
abortion,14
absurd,15
abuse,16
action,17
action packed,18
adaptation,19
addiction,20
adolescence,21
adoption,22
adult,23
adultery,24
adventure,25
afghanistan,26
africa,27
african americans,28
afterlife,29
aging,30
aids,31
airplanes,32
alaska,33
alcatraz,34
alcoholism,35
aliens,36
alien invasion,37
all time favorites,38
allegory,39
alpha,40
alpha males,41
alternate history,42
alternate reality,43
alternate universe,44
america,45
americas,46
american,47
amnesia,48
androids,49
angels,50
angst,51
animals,52
animation,53
anime,54
antarctica,55
anthology,56
anti heroes,57
anti semitism,58
anti war,59
apocalypse,60
apocalyptic,61
arc,62
archaeology,63
argentina,64
art,65
artificial intelligence,66
asia,67
assassins,68
assassination,69
astronauts,70
atheism,71
australia,72
australian,73
autism,74
autobiography,75
aviation,76
awesome,77
bad boys,78
ballet,79
banned books,80
baseball,81
true story,82
basketball,83
bdsm,84
beach read,85
beautiful,86
beer,87
berlin,88
betrayal,89
biblical,90
bikers,91
billionaires,92
biography,93
biographical,94
biology,95
birds,96
bizarre,97
black comedy,98
blindness,99
boarding school,100
bomb,101
books about books,102
book boyfriends,103
made me cry,104
boring,105
boston,106
boxing,107
brainwashing,108
brazil,109
british,110
broadway,111
brothers,112
bullying,113
business,114
california,115
camp,116
canada,117
canadian,118
cancer,119
cannibalism,120
caper,121
capitalism,122
cars,123
cartoons,124
catastrophe,125
catholicism,126
celebrity,127
censorship,128
chapter book,129
character study,130
chase,131
cheating,132
cheerleading,133
cheesy,134
chess,135
chick lit,136
chicago,137
chick flick,138
children,139
child abuse,140
children's books,141
childhood,142
china,143
chocolate,144
christian,145
christmas,146
cia,147
circus,148
civil rights,149
civil war,150
classic,151
cliffhanger,152
clones,153
cloning,154
cold war,155
college,156
colonialism,157
comedy,158
comics,159
comic read,160
coming of age,161
communism,162
competition,163
computers,164
conspiracy,165
contemporary,166
contempor​ary,167
controversial,168
cooking,169
cool,170
corruption,171
courage,172
courtroom,173
courtroom drama,174
cozy mystery,175
crazy,176
creativity,177
creepy,178
crime,179
cross dressing,180
crude humor,181
cuba,182
cults,183
cult,184
cultural,185
culture,186
cute,187
cyberpunk,188
dance,189
dark,190
dark fantasy,191
dark humor,192
dark romance,193
death,194
death penalty,195
demons,196
depressing,197
depression,198
deserts,199
destiny,200
detective,201
devil,202
dinosaurs,203
disability,204
disappointing,205
disasters,206
dystopia,207
disturbing,208
diversity,209
divorce,210
doctors,211
dogs,212
dragons,213
drama,214
dreams,215
drinking,216
drugs,217
dual pov,218
dysfunctional families,219
ecology,220
economics,221
education,222
educational,223
egypt,224
elementary,225
emotional,226
end of the world,227
enemy to lover,228
england,229
english,230
entertaining,231
environment,232
epic,233
epic fantasy,234
epistolary,235
erotic,236
espionage,237
essays,238
europe,239
evolution,240
existentialism,241
factual,242
fairies,243
fairy tales,244
fairytale retellings,245
faith,246
families,247
family relationships,248
fantasy,249
fascism,250
fashion,251
father daughter relationships,252
father son relationships,253
fbi,254
feel good,255
female protagonist,256
feminism,257
feminist,258
fiction,259
fighters,260
fighting,261
finance,262
finnish,263
first contact,264
fish,265
fluff,266
food,267
football,268
forbidden love,269
foreign,270
france,271
freedom,272
french,273
friend to lover,274
friendship,275
fun,276
funny,277
funny as hell,278
future,279
futuristic,280
gambling,281
gangs,282
gangsters,283
gay,284
geeks,285
gender,286
genetics,287
genius,288
genocide,289
german,290
germany,291
ghosts,292
lgbtqia,293
global warming,294
god,295
gods,296
good,297
gore,298
goth,299
gothic,300
